Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
,< 6 months,0,ANTHRAX VACCINE,ANTH,Female,F,3,0.00%
,< 6 months,0,ANTHRAX VACCINE,ANTH,Male,M,20,0.00%
,< 6 months,0,ANTHRAX VACCINE,ANTH,Unknown,U,2,0.00%
Total,< 6 months,0,ANTHRAX VACCINE,ANTH,,,25,0.00%
,< 6 months,0,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Female,F,4,0.00%
,< 6 months,0,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Male,M,2,0.00%
Total,< 6 months,0,BACILLUS CALMETTE-GUERIN VACCINE,BCG,,,6,0.00%
,< 6 months,0,COMVAX,HBHEPB,Female,F,1093,0.16%
,< 6 months,0,COMVAX,HBHEPB,Male,M,1154,0.17%
,< 6 months,0,COMVAX,HBHEPB,Unknown,U,32,0.00%
Total,< 6 months,0,COMVAX,HBHEPB,,,2279,0.34%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Female,F,42,0.01%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Male,M,74,0.01%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,,,116,0.02%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Female,F,3909,0.58%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Male,M,4361,0.64%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Unknown,U,136,0.02%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,,,8406,1.24%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Female,F,148,0.02%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Male,M,130,0.02%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Unknown,U,39,0.01%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,,,317,0.05%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Female,F,2809,0.41%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Male,M,3259,0.48%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Unknown,U,79,0.01%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,,,6147,0.91%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Female,F,1766,0.26%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Male,M,1978,0.29%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Unknown,U,109,0.02%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,,,3853,0.57%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Female,F,3483,0.51%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Male,M,4238,0.62%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Unknown,U,115,0.02%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,,,7836,1.16%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Female,F,13,0.00%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Male,M,11,0.00%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,,,24,0.00%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Female,F,1351,0.20%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Male,M,1534,0.23%
,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Unknown,U,40,0.01%
Total,< 6 months,0,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,,,2925,0.43%
,< 6 months,0,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Female,F,41,0.01%
,< 6 months,0,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Male,M,56,0.01%
,< 6 months,0,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Unknown,U,2,0.00%
Total,< 6 months,0,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,,,99,0.01%
,< 6 months,0,DIPHTHERIA TOXOID,DTOX,Female,F,3,0.00%
,< 6 months,0,DIPHTHERIA TOXOID,DTOX,Male,M,4,0.00%
Total,< 6 months,0,DIPHTHERIA TOXOID,DTOX,,,7,0.00%
,< 6 months,0,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Female,F,19,0.00%
,< 6 months,0,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Male,M,25,0.00%
,< 6 months,0,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Unknown,U,2,0.00%
Total,< 6 months,0,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,,,46,0.01%
,< 6 months,0,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Female,F,5,0.00%
,< 6 months,0,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Male,M,10,0.00%
,< 6 months,0,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Unknown,U,1,0.00%
Total,< 6 months,0,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,,,16,0.00%
,< 6 months,0,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Female,F,13,0.00%
,< 6 months,0,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Male,M,14,0.00%
Total,< 6 months,0,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,,,27,0.00%
,< 6 months,0,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Female,F,1,0.00%
,< 6 months,0,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Male,M,3,0.00%
Total,< 6 months,0,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,,,4,0.00%
,< 6 months,0,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Female,F,6,0.00%
,< 6 months,0,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Male,M,2,0.00%
Total,< 6 months,0,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,,,8,0.00%
,< 6 months,0,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Female,F,8263,1.22%
,< 6 months,0,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Male,M,9766,1.44%
,< 6 months,0,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Unknown,U,514,0.08%
Total,< 6 months,0,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,,,18543,2.73%
,< 6 months,0,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Female,F,29,0.00%
,< 6 months,0,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Male,M,46,0.01%
,< 6 months,0,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Unknown,U,1,0.00%
Total,< 6 months,0,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,,,76,0.01%
,< 6 months,0,HEPATITIS A,HEPA,Female,F,110,0.02%
,< 6 months,0,HEPATITIS A,HEPA,Male,M,115,0.02%
,< 6 months,0,HEPATITIS A,HEPA,Unknown,U,79,0.01%
Total,< 6 months,0,HEPATITIS A,HEPA,,,304,0.04%
,< 6 months,0,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Female,F,2,0.00%
,< 6 months,0,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Male,M,3,0.00%
